pre,id,Cuenta,Penloc_Label,Penloc_context0
P_G,209,Cánones,penloc2-econ-gast-cuentas:Canones,penloc2-econ-gast-importes:PrevisionInicial
P_G,21,"Reparaciones, mantenimiento y conservación",penloc2-econ-gast-cuentas:ReparacionesMantenimientoYConservacion,penloc2-econ-gast-importes:PrevisionInicial
P_G,210,Infraestructuras y bienes naturales,penloc2-econ-gast-cuentas:InfraestructurasYBienesNaturales,penloc2-econ-gast-importes:PrevisionInicial
P_G,212,Edificios y otras construcciones,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios_ReparacionesMantenimientoYConservacion_EdificiosYOtrasConstrucciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,213,"Maquinaria, instalaciones técnicas y utillaje",penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios_ReparacionesMantenimientoYConservacion_MaquinariaInstalacionesTecnicasYUtillaje,penloc2-econ-gast-importes:PrevisionInicial
P_G,214,Elementos de transporte,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios_ReparacionesMantenimientoYConservacion_ElementosDeTransporte,penloc2-econ-gast-importes:PrevisionInicial
P_G,215,Mobiliario,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios_ReparacionesMantenimientoYConservacion_Mobiliario,penloc2-econ-gast-importes:PrevisionInicial
P_G,216,Equipos para procesos de información,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios_ReparacionesMantenimientoYConservacion_EquiposParaProcesosDeInformacion,penloc2-econ-gast-importes:PrevisionInicial
P_G,219,Otro inmovilizado material,penloc2-econ-gast-cuentas:OtroInmovilizadoMaterial,penloc2-econ-gast-importes:PrevisionInicial
P_G,22,"Material, suministros y otros",penloc2-econ-gast-cuentas:MaterialSuministrosYOtros,penloc2-econ-gast-importes:PrevisionInicial
P_G,220,Material de oficina,penloc2-econ-gast-cuentas:MaterialDeOficina,penloc2-econ-gast-importes:PrevisionInicial
P_G,220.00,Ordinario no inventariable,penloc2-econ-gast-cuentas:OrdinarioNoInventariable,penloc2-econ-gast-importes:PrevisionInicial
P_G,220.01,"Prensa, revistas, libros y otras publicaciones",penloc2-econ-gast-cuentas:PrensaRevistasLibrosYOtrasPublicaciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,220.02,Material informático no inventariable,penloc2-econ-gast-cuentas:MaterialInformaticoNoInventariable,penloc2-econ-gast-importes:PrevisionInicial
P_G,221,Suministros,penloc2-econ-gast-cuentas:Suministros,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.00,Energía eléctrica,penloc2-econ-gast-cuentas:EnergiaElectrica,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.01,Agua,penloc2-econ-gast-cuentas:Agua,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.02,Gas,penloc2-econ-gast-cuentas:Gas,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.03,Combustibles y carburantes,penloc2-econ-gast-cuentas:CombustiblesYCarburantes,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.04,Vestuario,penloc2-econ-gast-cuentas:Vestuario,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.05,Productos alimenticios,penloc2-econ-gast-cuentas:ProductosAlimenticios,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.06,Productos farmacéuticos y material sanitario,penloc2-econ-gast-cuentas:ProductosFarmaceuticosYMaterialSanitario,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.10,Productos de limpieza y aseo,penloc2-econ-gast-cuentas:ProductosDeLimpiezaYAseo,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.11,"Suministros de repuestos de maquinaria, utillaje y elementos de transporte",penloc2-econ-gast-cuentas:SuministrosDeRepuestosDeMaquinariaUtillajeYElementosDeTransporte,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.12,"Suministros de material electrónico, eléctrico y de telecomunicaciones",penloc2-econ-gast-cuentas:SuministrosDeMaterialElectronicoElectricoYDeTelecomunicaciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.13,Manutención de animales,penloc2-econ-gast-cuentas:ManutencionDeAnimales,penloc2-econ-gast-importes:PrevisionInicial
P_G,221.99,Otros suministros,penloc2-econ-gast-cuentas:OtrosSuministros,penloc2-econ-gast-importes:PrevisionInicial
P_G,222,Comunicaciones,penloc2-econ-gast-cuentas:Comunicaciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,222.00,Servicios de Telecomunicaciones,penloc2-econ-gast-cuentas:ServiciosDeTelecomunicaciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,222.01,Postales,penloc2-econ-gast-cuentas:Postales,penloc2-econ-gast-importes:PrevisionInicial
P_G,222.02,Telegráficas,penloc2-econ-gast-cuentas:Telegraficas,penloc2-econ-gast-importes:PrevisionInicial
P_G,222.03,Informáticas,penloc2-econ-gast-cuentas:Informaticas,penloc2-econ-gast-importes:PrevisionInicial
P_G,222.99,Otros gastos en comunicaciones,penloc2-econ-gast-cuentas:OtrosGastosEnComunicaciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,223,Transportes,penloc2-econ-gast-cuentas:Transportes,penloc2-econ-gast-importes:PrevisionInicial
P_G,224,Primas de seguros,penloc2-econ-gast-cuentas:PrimasDeSeguros,penloc2-econ-gast-importes:PrevisionInicial
P_G,225,Tributos,penloc2-econ-gast-cuentas:Tributos,penloc2-econ-gast-importes:PrevisionInicial
P_G,225.00,Tributos estatales,penloc2-econ-gast-cuentas:TributosEstatales,penloc2-econ-gast-importes:PrevisionInicial
P_G,225.01,Tributos de las Comunidades Autónomas,penloc2-econ-gast-cuentas:TributosDeLasComunidadesAutonomas,penloc2-econ-gast-importes:PrevisionInicial
P_G,225.02,Tributos de las Entidades locales,penloc2-econ-gast-cuentas:TributosDeLasEntidadesLocales,penloc2-econ-gast-importes:PrevisionInicial
P_G,226,Gastos diversos,penloc2-econ-gast-cuentas:GastosDiversos,penloc2-econ-gast-importes:PrevisionInicial
P_G,226.01,Atenciones protocolarias y representativas,penloc2-econ-gast-cuentas:AtencionesProtocolariasYRepresentativas,penloc2-econ-gast-importes:PrevisionInicial
P_G,226.02,Publicidad y propaganda,penloc2-econ-gast-cuentas:PublicidadYPropaganda,penloc2-econ-gast-importes:PrevisionInicial
P_G,226.03,Publicación en Diarios Oficiales,penloc2-econ-gast-cuentas:PublicacionEnDiariosOficiales,penloc2-econ-gast-importes:PrevisionInicial
P_G,226.04,"Jurídicos, contenciosos",penloc2-econ-gast-cuentas:JuridicosContenciosos,penloc2-econ-gast-importes:PrevisionInicial
P_G,226.06,"Reuniones, conferencias y cursos",penloc2-econ-gast-cuentas:ReunionesConferenciasYCursos,penloc2-econ-gast-importes:PrevisionInicial
P_G,226.07,Oposiciones y pruebas selectivas,penloc2-econ-gast-cuentas:OposicionesYPruebasSelectivas,penloc2-econ-gast-importes:PrevisionInicial
P_G,226.09,Actividades culturales y deportivas,penloc2-econ-gast-cuentas:ActividadesCulturalesYDeportivas,penloc2-econ-gast-importes:PrevisionInicial
P_G,226.99,Otros gastos diversos,penloc2-econ-gast-cuentas:OtrosGastosDiversos,penloc2-econ-gast-importes:PrevisionInicial
P_G,227,Trabajos realizados por otras empresas y profesionales,penloc2-econ-gast-cuentas:TrabajosRealizadosPorOtrasEmpresasYProfesionales,penloc2-econ-gast-importes:PrevisionInicial
P_G,227.00,Limpieza y aseo,penloc2-econ-gast-cuentas:LimpiezaYAseo,penloc2-econ-gast-importes:PrevisionInicial
P_G,227.01,Seguridad,penloc2-econ-gast-cuentas:Seguridad,penloc2-econ-gast-importes:PrevisionInicial
P_G,227.02,Valoraciones y peritajes,penloc2-econ-gast-cuentas:ValoracionesYPeritajes,penloc2-econ-gast-importes:PrevisionInicial
P_G,227.04,"Custodia, depósito y almacenaje",penloc2-econ-gast-cuentas:CustodiaDepositoYAlmacenaje,penloc2-econ-gast-importes:PrevisionInicial
P_G,227.05,Procesos electorales,penloc2-econ-gast-cuentas:ProcesosElectorales,penloc2-econ-gast-importes:PrevisionInicial
P_G,227.06,Estudios y trabajos técnicos,penloc2-econ-gast-cuentas:EstudiosYTrabajosTecnicos,penloc2-econ-gast-importes:PrevisionInicial
P_G,227.08,Servicios de recaudación a favor de la entidad,penloc2-econ-gast-cuentas:ServiciosDeRecaudacionAFavorDeLaEntidad,penloc2-econ-gast-importes:PrevisionInicial
P_G,227.99,Otros trabajos realizados por otras empresas y profesionales,penloc2-econ-gast-cuentas:OtrosTrabajosRealizadosPorOtrasEmpresasYProfesionales,penloc2-econ-gast-importes:PrevisionInicial
P_G,23,Indemnizaciones por razón del servicio,penloc2-econ-gast-cuentas:IndemnizacionesPorRazonDelServicio,penloc2-econ-gast-importes:PrevisionInicial
P_G,230,Dietas,penloc2-econ-gast-cuentas:Dietas,penloc2-econ-gast-importes:PrevisionInicial
P_G,230.00,De los miembros de los órganos de gobierno,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios_IndemnizacionesPorRazonDelServicio_Dietas_DeLosMiembrosDeLosOrganosDeGobierno,penloc2-econ-gast-importes:PrevisionInicial
P_G,230.10,Del personal directivo,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios_IndemnizacionesPorRazonDelServicio_Dietas_DelPersonalDirectivo,penloc2-econ-gast-importes:PrevisionInicial
P_G,230.20,Del personal no directivo,penloc2-econ-gast-cuentas:Dietas_DelPersonalNoDirectivo,penloc2-econ-gast-importes:PrevisionInicial
P_G,231,Locomoción,penloc2-econ-gast-cuentas:Locomocion,penloc2-econ-gast-importes:PrevisionInicial
P_G,231.00,De los miembros de los órganos de gobierno,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios_IndemnizacionesPorRazonDelServicio_Locomocion_DeLosMiembrosDeLosOrganosDeGobierno,penloc2-econ-gast-importes:PrevisionInicial
P_G,231.10,Del personal directivo,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios_IndemnizacionesPorRazonDelServicio_Locomocion_DelPersonalDirectivo,penloc2-econ-gast-importes:PrevisionInicial
P_G,231.20,Del personal no directivo,penloc2-econ-gast-cuentas:Locomocion_DelPersonalNoDirectivo,penloc2-econ-gast-importes:PrevisionInicial
P_G,233,Otras indemnizaciones,penloc2-econ-gast-cuentas:OtrasIndemnizaciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,24,Gastos de publicaciones,penloc2-econ-gast-cuentas:GastosDePublicaciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,240,Gastos de edición y distribución,penloc2-econ-gast-cuentas:GastosDeEdicionYDistribucion,penloc2-econ-gast-importes:PrevisionInicial
P_G,25,Trabajos realizados por administraciones públicas y otras entidades públicas,penloc2-econ-gast-cuentas:TrabajosRealizadosPorAdministracionesPublicasYOtrasEntidadesPublicas,penloc2-econ-gast-importes:PrevisionInicial
P_G,26,Trabajos realizados por Instituciones sin fines de lucro,penloc2-econ-gast-cuentas:TrabajosRealizadosPorInstitucionesSinFinesDeLucro,penloc2-econ-gast-importes:PrevisionInicial
P_G,27,Gastos imprevistos y funciones no clasificadas,penloc2-econ-gast-cuentas:GastosImprevistosYFuncionesNoClasificadas,penloc2-econ-gast-importes:PrevisionInicial
P_G,3,GASTOS FINANCIEROS,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-importes:PrevisionInicial
P_G,30,De Deuda Pública en euros,penloc2-econ-gast-cuentas:DeDeudaPublicaEnEuros,penloc2-econ-gast-importes:PrevisionInicial
