pre,id,Cuenta,Penloc_Label,Penloc_context0
P_I,325,Tasa por expedición de documentos,penloc2-econ-ingr-cuentas:TasaPorExpedicionDeDocumentos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,326,Tasa por retirada de vehículos,penloc2-econ-ingr-cuentas:TasaPorRetiradaDeVehiculos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,329,Otras tasas por la realización de actividades de competencia local,penloc2-econ-ingr-cuentas:OtrasTasasPorLaRealizacionDeActividadesDeCompetenciaLocal,penloc2-econ-ingr-importes:PrevisionInicial
P_I,33,Tasas por la utilización privativa o el aprovechamiento especial del dominio público local,penloc2-econ-ingr-cuentas:TasasPorLaUtilizacionPrivativaOElAprovechamientoEspecialDelDominioPublicoLocal,penloc2-econ-ingr-importes:PrevisionInicial
P_I,330,Tasa de estacionamiento de vehículos,penloc2-econ-ingr-cuentas:TasaDeEstacionamientoDeVehiculos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,331,Tasa por entrada de vehículos,penloc2-econ-ingr-cuentas:TasaPorEntradaDeVehiculos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,332,Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de suministros,penloc2-econ-ingr-cuentas:TasaPorUtilizacionPrivativaOAprovechamientoEspecialPorEmpresasExplotadorasDeServiciosDeSuministros,penloc2-econ-ingr-importes:PrevisionInicial
P_I,333,Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de telecomunicaciones,penloc2-econ-ingr-cuentas:TasaPorUtilizacionPrivativaOAprovechamientoEspecialPorEmpresasExplotadorasDeServiciosDeTelecomunicaciones,penloc2-econ-ingr-importes:PrevisionInicial
P_I,334,Tasa por apertura de calas y zanjas,penloc2-econ-ingr-cuentas:TasaPorAperturaDeCalasYZanjas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,335,Tasa por ocupación de la vía pública con terrazas,penloc2-econ-ingr-cuentas:TasaPorOcupacionDeLaViaPublicaConTerrazas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,336,Tasa por ocupación de la vía pública con suspensión temporal del tráfico rodado,penloc2-econ-ingr-cuentas:TasaPorOcupacionDeLaViaPublicaConSuspensionTemporalDelTraficoRodado,penloc2-econ-ingr-importes:PrevisionInicial
P_I,337,Tasas por aprovechamiento del vuelo,penloc2-econ-ingr-cuentas:TasasPorAprovechamientoDelVuelo,penloc2-econ-ingr-importes:PrevisionInicial
P_I,338,Compensación de Telefónica de España S.A.,penloc2-econ-ingr-cuentas:CompensacionDeTelefonicaDeEspanaSa,penloc2-econ-ingr-importes:PrevisionInicial
P_I,339,Otras tasas por utilización privativa del dominio público,penloc2-econ-ingr-cuentas:OtrasTasasPorUtilizacionPrivativaDelDominioPublico,penloc2-econ-ingr-importes:PrevisionInicial
P_I,34,Precios públicos,penloc2-econ-ingr-cuentas:PreciosPublicos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,340,Servicios hospitalarios,penloc2-econ-ingr-cuentas:PreciosPublicos_ServiciosHospitalarios,penloc2-econ-ingr-importes:PrevisionInicial
P_I,341,Servicios asistenciales,penloc2-econ-ingr-cuentas:PreciosPublicos_ServiciosAsistenciales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,342,Servicios educativos,penloc2-econ-ingr-cuentas:PreciosPublicos_ServiciosEducativos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,343,Servicios deportivos,penloc2-econ-ingr-cuentas:PreciosPublicos_ServiciosDeportivos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,344,"Entradas a museos, exposiciones, espectáculos",penloc2-econ-ingr-cuentas:EntradasAMuseosExposicionesEspectaculos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,345,Servicio de transporte público urbano,penloc2-econ-ingr-cuentas:ServicioDeTransportePublicoUrbano,penloc2-econ-ingr-importes:PrevisionInicial
P_I,349,Otros precios públicos,penloc2-econ-ingr-cuentas:OtrosPreciosPublicos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,35,Contribuciones especiales,penloc2-econ-ingr-cuentas:ContribucionesEspeciales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,350,Para la ejecución de obras,penloc2-econ-ingr-cuentas:ParaLaEjecucionDeObras,penloc2-econ-ingr-importes:PrevisionInicial
