pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3
L_G,132,Retribuciones en especie,lenloc2-econ-gast-cuentas:PersonalLaboral_RetribucionesEnEspecie,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,137,Contribuciones a planes y fondos de pensiones,lenloc2-econ-gast-cuentas:PersonalLaboral_ContribucionesAPlanesYFondosDePensiones,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,14,Otro personal,lenloc2-econ-gast-cuentas:OtroPersonal,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,143,Otro personal,lenloc2-econ-gast-cuentas:OtroPersonal_OtroPersonal,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,147,Contribuciones a planes y fondos de pensiones,lenloc2-econ-gast-cuentas:OtroPersonal_ContribucionesAPlanesYFondosDePensiones,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,15,Incentivos al rendimiento,lenloc2-econ-gast-cuentas:IncentivosAlRendimiento,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,150,Productividad,lenloc2-econ-gast-cuentas:Productividad,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,151,Gratificaciones,lenloc2-econ-gast-cuentas:Gratificaciones,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,152,Otros incentivos al rendimiento,lenloc2-econ-gast-cuentas:OtrosIncentivosAlRendimiento,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,153,Complemento de dedicación especial,lenloc2-econ-gast-cuentas:ComplementoDeDedicacionEspecial,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,16,"Cuotas, prestaciones y gastos sociales a cargo del empleador",lenloc2-econ-gast-cuentas:CuotasPrestacionesYGastosSocialesACargoDelEmpleador,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,160,Cuotas sociales,lenloc2-econ-gast-cuentas:CuotasSociales,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,160.00,Seguridad Social,lenloc2-econ-gast-cuentas:SeguridadSocial,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,160.08,Asistencia médico-farmacéutica,lenloc2-econ-gast-cuentas:AsistenciaMedico-farmaceutica,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,160.09,Otras cuotas,lenloc2-econ-gast-cuentas:OtrasCuotas,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,161,Prestaciones sociales,lenloc2-econ-gast-cuentas:PrestacionesSociales,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,161.03,Pensiones excepcionales,lenloc2-econ-gast-cuentas:PensionesExcepcionales,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,161.04,Indemnizaciones al personal laboral por jubilaciones anticipadas,lenloc2-econ-gast-cuentas:IndemnizacionesAlPersonalLaboralPorJubilacionesAnticipadas,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,161.05,Pensiones a cargo de la Entidad local,lenloc2-econ-gast-cuentas:PensionesACargoDeLaEntidadLocal,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,161.07,Asistencia médico-farmacéutica a pensionistas,lenloc2-econ-gast-cuentas:AsistenciaMedico-farmaceuticaAPensionistas,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
