pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3,Lenloc_context4,Lenloc_context5,Lenloc_context6,Lenloc_context7
L_PR,21,Pensiones,lenloc2-prog-cuentas:Pensiones,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,211,Pensiones,lenloc2-prog-cuentas:Pensiones_Pensiones,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,22,Otras prestaciones económicas a favor de empleados,lenloc2-prog-cuentas:OtrasPrestacionesEconomicasAFavorDeEmpleados,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,221,Otras prestaciones económicas a favor de empleados,lenloc2-prog-cuentas:OtrasPrestacionesEconomicasAFavorDeEmpleados_OtrasPrestacionesEconomicasAFavorDeEmpleados,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,23,Servicios Sociales y promoción social,lenloc2-prog-cuentas:ServiciosSocialesYPromocionSocial,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,230,Administración General de servicios sociales.,lenloc2-prog-cuentas:AdministracionGeneralDeServiciosSociales,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,231,Acción social,lenloc2-prog-cuentas:Programas_ActuacionesDeProteccionYPromocionSocial_ServiciosSocialesYPromocionSocial_AccionSocial,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,232,Promoción social,lenloc2-prog-cuentas:PromocionSocial,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,233,Asistencia a personas dependientes,lenloc2-prog-cuentas:AsistenciaAPersonasDependientes,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,24,Fomento del Empleo,lenloc2-prog-cuentas:FomentoDelEmpleo,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,241,Fomento del Empleo,lenloc2-prog-cuentas:FomentoDelEmpleo_FomentoDelEmpleo,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,3,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,lenloc2-prog-cuentas:ProduccionDeBienesPublicosDeCaracterPreferente,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,31,Sanidad,lenloc2-prog-cuentas:Sanidad,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,312,"Hospitales, servicios asistenciales y centros de salud.",lenloc2-prog-cuentas:HospitalesServiciosAsistencialesYCentrosDeSalud,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,313,Acciones públicas relativas a la salud.,lenloc2-prog-cuentas:AccionesPublicasRelativasALaSalud,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
